[572, 158.55] AVG: 132.43
[573, 156.45] AVG: 128.46
[574, 160.95] AVG: 131.27
[575, 159.10] AVG: 131.40
[576, 159.70] AVG: 132.73
[577, 158.90] AVG: 132.21
[578, 163.20] AVG: 133.98
[579, 161.30] AVG: 131.87
[580, 161.20] AVG: 132.61
[581, 155.45] AVG: 131.64
[582, 159.59] AVG: 132.53
[583, 162.26] AVG: 131.86
[584, 157.85] AVG: 131.24
[585, 165.96] AVG: 133.78
[586, 156.70] AVG: 130.44
[587, 160.65] AVG: 130.20
[588, 167.14] AVG: 130.47
[589, 159.45] AVG: 132.26
[590, 164.80] AVG: 129.38
[591, 157.00] AVG: 126.34
[592, 159.45] AVG: 131.53
[593, 160.35] AVG: 132.08
[594, 159.45] AVG: 133.78
[595, 161.00] AVG: 134.71
[596, 180.10] AVG: 131.91
[597, 160.46] AVG: 132.36
[598, 167.95] AVG: 133.71
[599, 162.25] AVG: 134.64
[600, 170.79] AVG: 134.89
[601, 162.44] AVG: 135.16
[602, 163.49] AVG: 136.01
[603, 161.50] AVG: 137.18
[604, 159.08] AVG: 138.10
[605, 165.40] AVG: 137.53
[606, 163.55] AVG: 138.74
[607, 165.94] AVG: 138.50
[608, 167.50] AVG: 140.04
[609, 164.80] AVG: 138.94
[610, 162.80] AVG: 139.68
[611, 158.11] AVG: 134.79
[612, 166.05] AVG: 138.58
[613, 158.05] AVG: 137.55
[614, 162.72] AVG: 138.28
[615, 165.91] AVG: 136.46
[616, 168.80] AVG: 137.85
[617, 166.95] AVG: 137.30
[618, 163.07] AVG: 136.68
[619, 165.35] AVG: 137.47
[620, 172.35] AVG: 137.53
[621, 166.75] AVG: 138.52
[622, 168.58] AVG: 139.47
[623, 169.25] AVG: 139.36
[624, 164.25] AVG: 137.34
[625, 162.42] AVG: 140.36
[626, 166.50] AVG: 137.95
[627, 165.30] AVG: 139.95
[628, 165.64] AVG: 138.93
[629, 161.50] AVG: 138.97
[630, 169.45] AVG: 137.76
[631, 165.20] AVG: 136.79
[632, 167.25] AVG: 140.16
[633, 168.20] AVG: 137.96
[634, 161.75] AVG: 137.13
[635, 170.30] AVG: 140.67
[636, 164.42] AVG: 139.80
[637, 168.63] AVG: 137.83
[638, 165.80] AVG: 139.59
[639, 171.58] AVG: 140.96
[640, 162.80] AVG: 139.47
[641, 166.19] AVG: 139.49
[642, 164.58] AVG: 141.47
[643, 165.15] AVG: 138.07
[644, 167.15] AVG: 142.10
[645, 161.35] AVG: 137.83
[646, 160.70] AVG: 137.92
[647, 170.86] AVG: 140.78
[648, 170.85] AVG: 140.70
[649, 163.65] AVG: 139.97
[650, 163.45] AVG: 141.85
[651, 167.35] AVG: 138.75
[652, 158.30] AVG: 137.29
[653, 164.45] AVG: 136.46
[654, 158.95] AVG: 138.13
[655, 171.41] AVG: 140.03
[656, 169.90] AVG: 140.54
[657, 164.51] AVG: 140.67
[658, 160.65] AVG: 139.71
[659, 168.45] AVG: 141.63
[660, 165.35] AVG: 133.69
[661, 163.35] AVG: 140.77
[662, 167.45] AVG: 140.68
[663, 166.56] AVG: 138.90
[664, 164.51] AVG: 139.69
[665, 164.30] AVG: 142.32
[666, 167.23] AVG: 141.29
[667, 175.21] AVG: 141.35
[668, 166.60] AVG: 140.74
[669, 167.60] AVG: 138.29
[670, 163.45] AVG: 138.75
[671, 162.80] AVG: 139.13
[672, 166.45] AVG: 141.63
[673, 163.45] AVG: 139.22
[674, 163.85] AVG: 141.45
[675, 169.40] AVG: 136.58
[676, 164.94] AVG: 140.90
[677, 165.88] AVG: 139.62
[678, 170.25] AVG: 139.99
[679, 161.85] AVG: 140.47
[680, 171.95] AVG: 141.75
[681, 159.60] AVG: 140.10
[682, 163.56] AVG: 138.78
[683, 169.35] AVG: 142.37
[684, 158.35] AVG: 135.88
[685, 167.75] AVG: 140.97
[686, 166.10] AVG: 139.99
[687, 167.37] AVG: 140.60
